ID,Name,License Number,Source,Last Updated,Contact Info,Type,Latitude,Longitude,Address,Closed,Open,Normal Hours,Are there special hours?,Accommodation hours,Are there EM hours?,EM hours,SNAP/EBT/WIC,Delivery?,Pickup Orders?,Delivery/ Pick Up Notes,Other Notes
5655,"LUCKY SAM DELI & GRILL INC , LUCKY SAM DELI & GRILL",730674,,,,JAC,40.680381,-73.943325,"493 TOMPKINS AVE, BROOKLYN, NY 11216",,,,,,,,,,,,
5656,"LUCKY SHOP 168 INC , LUCKY SHOP 168",714971,,,,A,40.612817,-74.000477,"7815 17TH AVE, BROOKLYN, NY 11214",,,,,,,,,,,,
13984,"LUCKY SIGNS MARKET INC , LUCKY SIGNS MARKET",641456,,,,JAC,40.613960,-74.072724,"160 ST MARY'S AVE, STATEN ISLAND, NY 10305",,,,,,,,,,,,
1615,"LUCKY STAR DELI & GRILL INC , LUCKY STAR DELI & GRILL",710266,,,,JAC,40.830567,-73.861652,"1203 WHITE PLAINS RD, BRONX, NY 10472",,,,,,,,,,,,
1616,"LUCKY STAR DISCOUNT AND 99 CENTS , LUCKY STAR DISCOUNT AND",719270,,,,A,40.837194,-73.887237,"930 E 174TH ST, BRONX, NY 10460",,,,,,,,,,,,
5657,"LUCKY STAR MARKET INC , LUCKY STAR MARKET",616612,,,,A,40.639114,-74.005810,"5316 8TH AVE, BROOKLYN, NY 11220",,,,,,,,,,,,
5658,"LUCKY STAR SMOKE SHOP AND GROCERY , LUCKY STAR SMOKE SHOP A",722035,,,,JAC,40.677636,-73.949375,"1295 PACIFIC STREET, BROOKLYN, NY 11216",,,,,,,,,,,,
12166,"LUCKY STORE GROCERY INC , K FOOD MART",714952,,,,A,,0.000000,"92 58 QUEENS BLVD, REGO PARK, NY 11374",,,,,,,,,,,,
5660,"LUCKY SUNSHINE GROCERY INC , LUCKY SUNSHINE GROCERY",715547,,,,A,40.624282,-73.999722,"6514 14TH AVE, BROOKLYN, NY 11219",,,,,,,,,,,,
5661,"LUCKY U MARKET INC , LUCKY U MARKET",723876,,,,A,40.599650,-73.948870,"2218 AVENUE, BROOKLYN, NY 11229",,,,,,,,,,,,
5662,"LUCY DELI GROCERY CORP , LUCY DELI GROCERY",670088,,,,JAC,40.686612,-73.874984,"85 EUCLID AVE, BROOKLYN, NY 11208",,,,,,,,,,,,
12343,"LUCYS EMPIRE LLC , LUCYS EMPIRE",725740,,,,JAC,40.697287,-73.893285,"6116 COOPER AVE, RIDGEWOOD, NY 11385",,,,,,,,,,,,
5663,"LUDAS DUMPLINGS INC , LUDAS DUMPLINGS",730265,,,,JAC,40.584885,-73.950980,"3371 SHORE PARKWAY, BROOKLYN, NY 11235",,,,,,,,,,,,
4712,"LUGO MARTHA , GEORGE GROCERY STORE",613913,,,,JAC,40.659397,-73.893403,"710 GEORGIA AVE, BROOKLYN, NY 11207",,,,,,,,,,,,
12895,"LUGO MIGUEL&MEREJO EULOGIO , QUISQUEYA GROCERY",630611,,,,JAC,,0.000000,"95 01 37TH AVE, JACKSON HEIGHTS, NY 11372",,,,,,,,,,,,
5665,"LUKES LOBSTER CATERING LLC , LUKES LOBSTER",715192,,,,JAC,40.711184,-73.952471,"459 GRAND ST, BROOKLYN, NY 11211",,,,,,,,,,,,
10118,"LUNA & STELLA LLC , STORY",728437,,,,A,40.745070,-74.006087,"144 10TH AVE, NEW YORK, NY 10011",,,,,,,,,,,,
8401,"LUNA BROTHERS INC , C TOWN",624928,,,,JAC,40.829366,-73.948168,"3632 BROADWAY, NEW YORK, NY 10031",,,,,,,,,,,,
9480,"LUNA DELI INC , LUNA DELI",731696,,,,JAC,40.824949,-73.951401,"3494 BROADWAY, NEW YORK, NY 10031",,,,,,,,,,,,
1619,"LUNA DELI MINI MARKET CORP , LUNA DELI MINI MARKET",712807,,,,JAC,40.873871,-73.905223,"2820 BAILEY AVE, BRONX, NY 10463",,,,,,,,,,,,
9481,"LUNA FOOD MARKET CORP , LUNA FOOD MARKET",728231,,,,JAC,40.791668,-73.938585,"2121 1ST AVE, NEW YORK, NY 10029",,,,,,,,,,,,
12344,"LUNA FRUIT & GROCERY CORP , LUNA FRUIT & GROCERY",715822,,,,JAC,40.702698,-73.907496,"704 SENECA AVE, RIDGEWOOD, NY 11385",,,,,,,,,,,,
9482,"LUNA GOURMET DELI GROCERY INC , LUNA GOURMET DELI GROCE",709726,,,,JAC,40.864546,-73.923414,"147 SHERMAN AVE, NEW YORK, NY 10034",,,,,,,,,,,,
9483,"LUNA GROCERY CORP , LUNA GROCERY",728748,,,,JAC,40.866396,-73.918362,"264 SHERMAN AVENUE, NEW YORK, NY 10034",,,,,,,,,,,,
5666,"LUNA GROCERY STORE CORP , LUNA GROCERY STORE",619832,,,,JAC,40.667823,-73.873322,"1082 HEGEMAN AVE, BROOKLYN, NY 11208",,,,,,,,,,,,
5667,"LUNA SOPHIE GROCERY CORP , LUNA SOPHIE GROCERY",616056,,,,JAC,40.643669,-73.904565,"9401 GLENWOOD RD, BROOKLYN, NY 11236",,,,,,,,,,,,
12345,"LUNCHSTOP DELI & GROCERY CORP , LUNCHSTOP DELI & GROCER",709325,,,,JAC,40.771681,-73.909071,"3720 23RD AVE, ASTORIA, NY 11105",,,,,,,,,,,,
9484,"LUNG TONG GINSENG INC , LUNG TONG GINSENG",714562,,,,A,40.713623,-73.995372,"56 EAST BROADWAY, NEW YORK, NY 10002",,,,,,,,,,,,
3483,"LUO QIANG KE , BLOOMING GREENS INC",723411,,,,JACD,40.696770,-73.969537,"30 CLINTON AVE, BROOKLYN, NY 11205",,,,,,,,,,,,
12346,"LUPA GROCERY&HALAL MEAT INC , LUPA GROCERY&HALAL MEAT",639614,,,,A,,0.000000,"147 14 HILLSIDE AVE, JAMAICA, NY 11435",,,,,,,,,,,,
12348,"LUPIN & TAPIN LLC , LUPIN & TAPIN",718980,,,,JAC,,0.000000,"163 06 109TH AVE, JAMAICA, NY 11433",,,,,,,,,,,,
1620,"LUPITAS MEXICAN GROCERY II INC , LUPITAS MEXICAN GROCERY",728645,,,,JAC,40.893853,-73.858990,"654 E 233RD STREET, BRONX, NY 10466",,,,,,,,,,,,
1621,"LUPITAS MEXICAN GROCERY INC , LUPITAS MEXICAN GROCERY",609116,,,,JAC,40.882532,-73.880947,"9 E GUN HILL ROAD, BRONX, NY 10467",,,,,,,,,,,,
9123,"LWIN FAMILY CO , HISSHO SUSHI AT MT SINA",719096,,,,JAC,40.770129,-73.987846,"1000 10TH AVE, NEW YORK, NY 10019",,,,,,,,,,,,
9122,"LWIN FAMILY CO LLC , HISSHO SUSHI @ AGATA &",731566,,,,JAC,40.732955,-73.993603,"64 UNIVERSITY PLACE, NEW YORK, NY 10003",,,,,,,,,,,,
9124,"LWIN FAMILY CO LLC , HISSHO SUSHI @ MT SINAI",731021,,,,JAC,40.805909,-73.961723,"1111 AMSTERDAM AVE, NEW YORK, NY 10025",,,,,,,,,,,,
1624,"LYDIG DELI&GROCERY INC , LYDIG DELI&GROCERY",609068,,,,JAC,40.854461,-73.865529,"750 LYDIG AVE, BRONX, NY 10462",,,,,,,,,,,,
1625,"LYDIG DOLLAR DEALS INC , LYDIG DOLLAR DEALS INC",725879,,,,A,40.854469,-73.866130,"744 LYDIG AVE, BRONX, NY 10462",,,,,,,,,,,,
1446,"LYDIG FOOD CORP , KEY FOOD SUPERMARKET",608780,,,,JABC,40.854460,-73.865445,"751 LYDIG AVE, BRONX, NY 10462",,,,,,,,,,,,
1626,"LYDIG INTERNATIONAL FOOD INC , LYDIG INTERNATIONAL FD",604803,,,,JAC,40.854450,-73.864687,"774 LYDIG AVE, BRONX, NY 10462",,,,,,,,,,,,
11206,"LYF MEAT&PRODUCE CORP , C TOWN SUPERMARKET",632836,,,,JABC,,0.000000,"40 12 28TH AVE, ASTORIA, NY 11103",,,,,,,,,,,,
7633,"LYJ PETRO & CSTORE LLC , YI DONG ZHENG",712926,,,,A,40.667972,-73.906443,"460 MOTHER GASTON BLVD, BROOKLYN, NY 11212",,,,,,,,,,,,
7375,"LYT BROTH LLC , UNICORN HUMMUS",734822,,,,JAC,40.699997,-73.948214,"630 FLUSHING AVE, BROOKLYN, NY 11206",,,,,,,,,,,,
12414,"M & B GROCERY CORP , M & B GROCERY",711994,,,,JAC,40.605920,-73.751061,"1435 CENTRAL AVE, FAR ROCKAWAY, NY 11691",,,,,,,,,,,,
9574,"M & F FOOD CORP , M & F FOOD",713286,,,,JAC,40.851502,-73.932140,"1488 1494 ST NICHOLAS AVE, NEW YORK, NY 10033",,,,,,,,,,,,
12463,"M & H DELI 1 INC , M & H DELI 1",719422,,,,JAC,40.699594,-73.910581,"5400 MYRTLE AVE, RIDGEWOOD, NY 11385",,,,,,,,,,,,
11851,"M & J SUPERMARKET INC , HAIM'S INTERNATIONAL",729626,,,,JAC,,0.000000,"72 68 MAIN ST, FLUSHING, NY 11367",,,,,,,,,,,,
